epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2658.4,0.70181,0.33313,0.77861,0.90744,0.74305,0.81724,0.57934,0.75075,0.37635,0.78518,0.000321875,0.000321875,0.000321875
77,2695.63,0.71766,0.33257,0.77997,0.95294,0.73927,0.82468,0.5946,0.73843,0.37223,0.78368,0.0003095,0.0003095,0.0003095
78,2726.5,0.69561,0.32598,0.77893,0.93734,0.74644,0.80765,0.58969,0.74031,0.36433,0.78401,0.000297125,0.000297125,0.000297125
79,2756.94,0.71153,0.32757,0.77824,0.94471,0.7347,0.81751,0.5731,0.74943,0.37218,0.7838,0.00028475,0.00028475,0.00028475
80,2787.53,0.70588,0.32708,0.77775,0.91207,0.74381,0.8266,0.58134,0.74465,0.36865,0.78397,0.000272375,0.000272375,0.000272375
81,2818.56,0.698,0.32623,0.77836,0.95293,0.74145,0.81174,0.59387,0.734,0.35884,0.78247,0.00026,0.00026,0.00026
82,2855.01,0.7111,0.32859,0.77762,0.93915,0.71497,0.81323,0.57272,0.76635,0.36918,0.7835,0.000247625,0.000247625,0.000247625
83,2885.68,0.68581,0.31977,0.77785,0.94872,0.73144,0.8389,0.59765,0.71673,0.35893,0.78268,0.00023525,0.00023525,0.00023525
84,2916.4,0.67762,0.31597,0.77739,0.89927,0.72672,0.8323,0.59818,0.73591,0.36531,0.78334,0.000222875,0.000222875,0.000222875
85,2954.19,0.68475,0.32094,0.77619,0.94114,0.74909,0.83412,0.58517,0.7323,0.36257,0.78284,0.0002105,0.0002105,0.0002105
86,2990.55,0.65908,0.30897,0.77821,0.93154,0.73775,0.83024,0.58656,0.72334,0.36027,0.78258,0.000198125,0.000198125,0.000198125
87,3021.69,0.66064,0.31146,0.77725,0.94748,0.7222,0.82648,0.58269,0.72889,0.36064,0.78398,0.00018575,0.00018575,0.00018575
88,3057.84,0.66749,0.31034,0.77751,0.90867,0.74257,0.8328,0.58166,0.72632,0.35885,0.78328,0.000173375,0.000173375,0.000173375
89,3088.34,0.67172,0.31225,0.7737,0.9147,0.76512,0.83862,0.58452,0.7473,0.36339,0.78385,0.000161,0.000161,0.000161
90,3123.85,0.64935,0.3066,0.77343,0.91648,0.74978,0.83189,0.58435,0.73008,0.35342,0.782,0.000148625,0.000148625,0.000148625
91,3156.04,0.62486,0.30927,0.7742,0.92818,0.73858,0.82725,0.5826,0.74018,0.36384,0.78269,0.00013625,0.00013625,0.00013625
92,3192.86,0.62648,0.30385,0.7724,0.90324,0.73427,0.80932,0.58207,0.7369,0.3591,0.78266,0.000123875,0.000123875,0.000123875
93,3227.37,0.61146,0.29491,0.77518,0.95566,0.72839,0.81129,0.58074,0.736,0.35778,0.78184,0.0001115,0.0001115,0.0001115
94,3262.16,0.59334,0.29077,0.77445,0.95085,0.7237,0.82532,0.59637,0.73318,0.36016,0.78252,9.9125e-05,9.9125e-05,9.9125e-05
95,3298.87,0.61083,0.29498,0.77406,0.89529,0.75106,0.81819,0.59269,0.72976,0.35354,0.78256,8.675e-05,8.675e-05,8.675e-05
96,3333.9,0.58383,0.28667,0.77547,0.92918,0.74674,0.81876,0.59152,0.73868,0.35725,0.7819,7.4375e-05,7.4375e-05,7.4375e-05
97,3370.88,0.59754,0.28841,0.77355,0.92996,0.75865,0.82405,0.59222,0.72913,0.35451,0.78163,6.2e-05,6.2e-05,6.2e-05
98,3400.93,0.58216,0.2851,0.773,0.93446,0.75289,0.83084,0.60138,0.73241,0.36013,0.78196,4.9625e-05,4.9625e-05,4.9625e-05
99,3435.74,0.58405,0.28453,0.77208,0.91779,0.76332,0.83106,0.59685,0.72111,0.34674,0.78177,3.725e-05,3.725e-05,3.725e-05
100,3470.84,0.57052,0.2775,0.77514,0.97521,0.73901,0.83108,0.60082,0.72489,0.34961,0.78208,2.4875e-05,2.4875e-05,2.4875e-05
